from,to,lty,weight,arrow.mode
Pep Guardiola,Manchester City,1,2,2
Pep Guardiola,FC Barcelona,2,2,0
Pep Guardiola,Bayern Munich,2,2,0
Massimiliano Allegri,Sassuolo,2,2,2
Massimiliano Allegri,Cagliari,2,2,0
Massimiliano Allegri,AC Milan,2,2,0
Massimiliano Allegri,Juventus,1,2,0
Zinedine Zidane,Real Madrid,1,2,2
Antonio Conte,Chelsea,1,2,0
Antonio Conte,Atalanta,2,2,0
Antonio Conte,Italy,2,2,0
Antonio Conte,Juventus,2,2,0
Diego Simeone,Atletico Madrid,1,2,2
Diego Simeone,River Plate,2,2,0
Diego Simeone,San Lorenzo,2,2,0
Diego Simeone,Racing Club,2,2,0
Jose Mourinho,Manchester United,1,2,2
Jose Mourinho,FC Porto,2,2,0
Jose Mourinho,Chelsea,2,2,0
Jose Mourinho,Internazionale,2,2,0
Jose Mourinho,Real Madrid,2,2,0
Unai Emery,Paris Saint-Germain,1,2,2
Unai Emery,Valencia,2,2,0
Unai Emery,Spartak Moscow,2,2,0
Unai Emery,Sevilla,2,2,0
Mauricio Pochettino,Tottenham Hotspur,1,2,2
Mauricio Pochettino,Espanyol,2,2,0
Mauricio Pochettino,Southampton,2,2,0
Ernesto Valverde,FC Barcelona,1,2,2
Ernesto Valverde,Athletic Bilbao,2,2,0
Ernesto Valverde,Olympiacos,2,2,0
Ernesto Valverde,Valencia,2,2,0
Julen Lopetegui,Spain,1,2,2
Julen Lopetegui,Rayo Vallecano,2,2,0
Julen Lopetegui,FC Porto,2,2,0
Jurgen Klopp,Liverpool FC,1,2,2
Jurgen Klopp,Mainz 05,2,2,0
Jurgen Klopp,Borussia Dortmund,2,2,0
Joachim Löw,Germany,1,2,2
Joachim Löw,VfB Stuttgart,2,2,0
Joachim Löw,Fenerbahce,2,2,0
Joachim Löw,Austria Wien,2,2,0
Tite,Brazil,1,2,2
Tite,Gremio,2,2,0
Tite,Corinthians,2,2,0
Tite,Palmeiras,2,2,0
Jupp Heynckes,Bayern Munich,1,2,2
Jupp Heynckes,Real Madrid,2,2,0
Leonardo Jardim,AS Monaco,1,2,2
Leonardo Jardim,Braga,2,2,0
Leonardo Jardim,Olympiacos,2,2,0
Leonardo Jardim,Sporting CP,2,2,0
Roberto Martinez,Belgium,1,2,2
Roberto Martinez,Swansea City,2,2,0
Roberto Martinez,Wigan Athletic,2,2,0
Roberto Martinez,Everton,2,2,0
Arsène Wenger,Arsenal,1,2,2
Arsène Wenger,Nancy,2,2,0
Arsène Wenger,AS Monaco,2,2,0
Arsène Wenger,Grampus Eight,2,2,0
Didier Deschamps,France,1,2,2
Didier Deschamps,AS Monaco,2,2,0
Didier Deschamps,Juventus,2,2,0
Didier Deschamps,Marseille,2,2,0
Fernando Santos,Portugal,1,2,2
Fernando Santos,FC Porto,2,2,0
Fernando Santos,Panathinaikos,2,2,0
Fernando Santos,Benfica,2,2,0
Jorge Sampaoli,Argentina,1,2,2
Jorge Sampaoli,Universidad de Chile,2,2,0
Jorge Sampaoli,Chile,2,2,0
Jorge Sampaoli,Sevilla,2,2,0
