name,color,shape,size
Pep Guardiola,orange,circle,20
Manchester City,white,rectangle,15
Bayern Munich,white,rectangle,15
FC Barcelona,red,rectangle,15
Massimiliano Allegri,orange,circle,20
Sassuolo,grey,rectangle,15
Cagliari,grey,rectangle,15
AC Milan,grey,rectangle,15
Juventus,grey,rectangle,15
Zinedine Zidane,orange,circle,20
Real Madrid,red,rectangle,15
Antonio Conte,orange,circle,20
Chelsea,white,rectangle,15
Italy,grey,rectangle,15
Atalanta,grey,rectangle,15
Diego Simeone,orange,circle,20
Atletico Madrid,red,rectangle,15
River Plate,light green,rectangle,15
San Lorenzo,light green,rectangle,15
Racing Club,light green,rectangle,15
Jose Mourinho,orange,circle,20
Manchester United,white,rectangle,15
FC Porto,light green,rectangle,15
Internazionale,grey,rectangle,15
Unai Emery,orange,circle,20
Paris Saint-Germain,light blue,rectangle,15
Valencia,red,rectangle,15
Spartak Moscow,light green,rectangle,15
Sevilla,red,rectangle,15
Mauricio Pochettino,orange,circle,20
Tottenham Hotspur,white,rectangle,15
Espanyol,red,rectangle,15
Southampton,white,rectangle,15
Ernesto Valverde,orange,circle,20
Athletic Bilbao,red,rectangle,15
Olympiacos,light green,rectangle,15
Spain,red,rectangle,15
Rayo Vallecano,red,rectangle,15
Julen Lopetegui,orange,circle,20
Jurgen Klopp,orange,circle,20
Liverpool FC,white,rectangle,15
Mainz 05,light yellow,rectangle,15
Borussia Dortmund,light yellow,rectangle,15
Joachim Löw,orange,circle,15
Germany,light yellow,rectangle,15
VfB Stuttgart,light yellow,rectangle,15
Fenerbahce,light yellow,rectangle,15
Austria Wien,light green,rectangle,15
Tite,orange,circle,20
Brazil,light green,rectangle,15
Gremio,light green,rectangle,15
Corinthians,light green,rectangle,15
Palmeiras,light green,rectangle,15
Jupp Heynckes,orange,circle,20
Leonardo Jardim,orange,circle,20
AS Monaco,light blue,rectangle,15
Braga,light green,rectangle,15
Sporting CP,light green,rectangle,15
Roberto Martinez,orange,circle,20
Belgium,light green,rectangle,15
Swansea City,white,rectangle,15
Wigan Athletic,white,rectangle,15
Everton,white,rectangle,15
Arsène Wenger,orange,circle,20
Arsenal,white,rectangle,15
Nancy,light blue,rectangle,15
Grampus Eight,light green,rectangle,15
Didier Deschamps,orange,circle,20
France,light blue,rectangle,15
Marseille,light blue,rectangle,15
Fernando Santos,orange,circle,20
Portugal,light green,rectangle,15
Benfica,light green,rectangle,15
Panathinaikos,light green,rectangle,15
Jorge Sampaoli,orange,circle,20
Argentina,light green,rectangle,15
Universidad de Chile,light green,rectangle,15
Chile,light green,rectangle,15






